video_id,file_name,source_path,relative_path,file_exists,file_size_bytes,duration_seconds_matrix,duration_seconds_ffprobe,resolution_matrix,resolution_ffprobe,aspect_ratio_matrix,fps,video_codec,audio_present,audio_codec,ffprobe_status,ffprobe_error,ffmpeg_decode_status,ffmpeg_decode_error,frame_timecodes,contact_sheet_created,contact_sheet_status,contact_sheet_path_local_ignored,metadata_validation_note
fv_0021,40岁的女性修复盆底肌要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性修复盆底肌要多久.mp4,已发/40岁的女性修复盆底肌要多久.mp4,true,23406529,18.483,18.483,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.327；00:00:05.915；00:00:08.872；00:00:11.829；00:00:14.786；00:00:18.133,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0021.jpg,technical_validation_only_not_content_validation
fv_0022,40岁的女性修复盆底肌要多久？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性修复盆底肌要多久？.mp4,已发/40岁的女性修复盆底肌要多久？.mp4,true,23907421,18.506,18.506,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.331；00:00:05.922；00:00:08.883；00:00:11.844；00:00:14.805；00:00:18.156,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0022.jpg,technical_validation_only_not_content_validation
fv_0023,40岁的女性练出八爪鱼要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性练出八爪鱼要多久.mp4,已发/40岁的女性练出八爪鱼要多久.mp4,true,21589503,16.811,16.811,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.026；00:00:05.380；00:00:08.069；00:00:10.759；00:00:13.449；00:00:16.461,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0023.jpg,technical_validation_only_not_content_validation
fv_0024,40岁的女性练出八爪鱼需要多久？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性练出八爪鱼需要多久？.mp4,已发/40岁的女性练出八爪鱼需要多久？.mp4,true,21503892,16.811,16.811,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.026；00:00:05.380；00:00:08.069；00:00:10.759；00:00:13.449；00:00:16.461,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0024.jpg,technical_validation_only_not_content_validation
fv_0025,40＋的女性修复盆底肌要多久6.15.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40＋的女性修复盆底肌要多久6.15.mp4,已发/40＋的女性修复盆底肌要多久6.15.mp4,true,24258349,18.785,18.785,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.381；00:00:06.011；00:00:09.017；00:00:12.022；00:00:15.028；00:00:18.435,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0025.jpg,technical_validation_only_not_content_validation
fv_0026,40＋的姐妹练出紧致的盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40＋的姐妹练出紧致的盆底肌.mp4,已发/40＋的姐妹练出紧致的盆底肌.mp4,true,34497576,27.051,27.051,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:04.869；00:00:08.656；00:00:12.984；00:00:17.313；00:00:21.641；00:00:26.701,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0026.jpg,technical_validation_only_not_content_validation
fv_0027,5月15日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/5月15日.mp4,已发/5月15日.mp4,true,25734495,20.039,20.039,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.607；00:00:06.412；00:00:09.619；00:00:12.825；00:00:16.031；00:00:19.689,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0027.jpg,technical_validation_only_not_content_validation
fv_0028,5月16日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/5月16日.mp4,已发/5月16日.mp4,true,33953896,26.145,26.145,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:04.706；00:00:08.366；00:00:12.550；00:00:16.733；00:00:20.916；00:00:25.795,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0028.jpg,technical_validation_only_not_content_validation
fv_0029,一个动作让你练出紧致的盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个动作让你练出紧致的盆底肌.mp4,已发/一个动作让你练出紧致的盆底肌.mp4,true,38152164,29.837,29.837,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:05.371；00:00:09.548；00:00:14.322；00:00:19.096；00:00:23.870；00:00:29.487,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0029.jpg,technical_validation_only_not_content_validation
fv_0030,一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,已发/一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,true,26665195,20.619,20.619,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.711；00:00:06.598；00:00:09.897；00:00:13.196；00:00:16.495；00:00:20.269,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0030.jpg,technical_validation_only_not_content_validation
