source_category,relative_path,file_name,file_ext,duration_seconds,width,height,fps,video_codec,audio_codec,file_size_mb,read_status,deep_analysis_rank,deep_analysis_scope
ai_needed_final_video,AI需要的成片/成品/更年期秘密/更年期秘密.mov,更年期秘密.mov,.mov,82.918,1440,1080,60,h264,aac,146.058,read_success,755,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/最不舒服夫妻关系是什么样的.mov,最不舒服夫妻关系是什么样的.mov,.mov,17.6,1080,1920,60,h264,aac,37.692,read_success,756,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/样品.mp4,样品.mp4,.mp4,5254.57,1440,1080,30.000,h264,aac,6157.176,read_success_reused_existing_metadata,757,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/根部健康才是王道花根烂了还开啥.mp4,根部健康才是王道花根烂了还开啥.mp4,.mp4,82.709,1080,1920,30.000,h264,aac,99.167,read_success_reused_existing_metadata,758,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/椰子油逆龄术第二张脸嫩回20岁.mov,椰子油逆龄术第二张脸嫩回20岁.mov,.mov,35.805,1080,1920,60,h264,aac,63.726,read_success,759,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每天三分钟变得更紧致.mov,每天三分钟变得更紧致.mov,.mov,253.609,1080,1920,30,h264,aac,301.410,read_success,760,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每天坚持三分钟练出蜜桃臀/每天坚持三分钟练出蜜桃臀.mov,每天坚持三分钟练出蜜桃臀.mov,.mov,20.317,1080,1920,30,h264,aac,24.968,read_success,761,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日打卡瑜伽运动起来的你很美.mov,每日打卡瑜伽运动起来的你很美.mov,.mov,11.006,1080,1920,60,h264,aac,19.744,read_success,762,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日瑜伽运动起来的你很美3.mov,每日瑜伽运动起来的你很美3.mov,.mov,11.47,1080,1920,60,h264,aac,20.501,read_success,763,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日瑜伽运动起来的你很美4.mov,每日瑜伽运动起来的你很美4.mov,.mov,11.47,1080,1920,59.825,h264,aac,20.755,read_success,764,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日瑜伽运动起来的你很美(1).mov,每日瑜伽运动起来的你很美(1).mov,.mov,14.953,1080,1920,60,h264,aac,26.492,read_success,765,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日瑜伽运动起来的你很美.mov,每日瑜伽运动起来的你很美.mov,.mov,35.689,1080,1920,60,h264,aac,63.036,read_success,766,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日瑜伽运动起来的你很美.mp4,每日瑜伽运动起来的你很美.mp4,.mp4,11.122,1080,1920,60.000,h264,aac,20.406,read_success_reused_existing_metadata,767,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/每日睡前5组重回少女水润.mov,每日睡前5组重回少女水润.mov,.mov,206.356,1080,1920,30,h264,aac,245.743,read_success,768,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/比武时这样说让他瞬间心跳加速/比武时这样说让他瞬间心跳加速.mp4,比武时这样说让他瞬间心跳加速.mp4,.mp4,40.937,1080,1920,30.000,h264,aac,49.666,read_success_reused_existing_metadata,769,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/永远不要原谅伤害你的人.mov,永远不要原谅伤害你的人.mov,.mov,11.912,1080,1920,30,h264,aac,14.662,read_success,770,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/活的通透的女性是什么样.mp4,活的通透的女性是什么样.mp4,.mp4,21.641,1080,1920,30.000,h264,aac,25.498,read_success_reused_existing_metadata,771,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/活着通透女性到底是什么样.mov,活着通透女性到底是什么样.mov,.mov,21.455,1080,1920,60,h264,aac,43.785,read_success,772,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/渴望共生的背后真相.mov,渴望共生的背后真相.mov,.mov,71.935,1080,1920,30,h264,aac,106.967,read_success,773,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/滚动图.mov,滚动图.mov,.mov,12.144,1080,1292,30,h264,aac,6.519,read_success,774,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/澜心.mp4,澜心.mp4,.mp4,4999.243,854,480,30.000,h264,aac,888.972,read_success_reused_existing_metadata,775,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/澜心录播代练-副本 最新改.mp4,澜心录播代练-副本 最新改.mp4,.mp4,231.782,1080,1920,60.000,h264,aac,486.051,read_success_reused_existing_metadata,776,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/澜心录播代练-副本(1).mp4,澜心录播代练-副本(1).mp4,.mp4,231.782,1440,2560,60.000,h264,aac,784.985,read_success_reused_existing_metadata,777,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/澜心录播代练-副本.mov,澜心录播代练-副本.mov,.mov,231.782,1080,1920,30,h264,aac,273.276,read_success,778,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/澜心录播代练.mov,澜心录播代练.mov,.mov,231.782,1080,1920,30,h264,aac,273.317,read_success,779,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/爱一个人需不需结果呢.mp4,爱一个人需不需结果呢.mp4,.mp4,9.334,1080,1920,30.000,h264,aac,11.288,read_success_reused_existing_metadata,780,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/爱一个人需要结果吗.mp4,爱一个人需要结果吗.mp4,.mp4,27.423,1080,1920,30.000,h264,aac,32.919,read_success_reused_existing_metadata,781,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/爱你爱到骨子里三大表现.mp4,爱你爱到骨子里三大表现.mp4,.mp4,42.678,1080,1920,30.000,h264,aac,51.153,read_success_reused_existing_metadata,782,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/父母的控制孩子深陷泥潭根源/父母的控制孩子深陷泥潭根源.mov,父母的控制孩子深陷泥潭根源.mov,.mov,54.915,1080,1920,60,h264,aac,97.223,read_success,783,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/生理上喜欢男女都走不远.mov,生理上喜欢男女都走不远.mov,.mov,25.774,1080,1920,30,h264,aac,30.904,read_success,784,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/生理上的喜欢才是真爱.mp4,生理上的喜欢才是真爱.mp4,.mp4,18.622,1080,1920,30.000,h264,aac,21.876,read_success_reused_existing_metadata,785,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/生理上的喜爱才是真爱嘛.mp4,生理上的喜爱才是真爱嘛.mp4,.mp4,16.486,1080,1920,30.000,h264,aac,19.940,read_success_reused_existing_metadata,786,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/生理性喜欢才是真爱吗.mp4,生理性喜欢才是真爱吗.mp4,.mp4,41.749,1080,1920,30.000,h264,aac,49.701,read_success_reused_existing_metadata,787,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/生理需求旺盛女生都有这几点.mov,生理需求旺盛女生都有这几点.mov,.mov,36.873,1080,1920,60,h264,aac,65.400,read_success,788,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/用舞蹈和甜言蜜语，牢牢抓住他的心.mov,用舞蹈和甜言蜜语，牢牢抓住他的心.mov,.mov,42.98,1080,1920,30,h264,aac,52.120,read_success,789,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/用语言传递爱意让舞步更亲密.mov,用语言传递爱意让舞步更亲密.mov,.mov,63.251,1080,1920,30,h264,aac,75.595,read_success,790,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/甩掉错的才能遇见对的/甩掉错的才能遇见对的.mp4,甩掉错的才能遇见对的.mp4,.mp4,13.467,1080,1920,30.000,h264,aac,16.403,read_success_reused_existing_metadata,791,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人为什么都喜欢少妇.mov,男人为什么都喜欢少妇.mov,.mov,31.788,1080,1920,60,h264,aac,56.590,read_success,792,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人出轨了还需要挽回吗.mov,男人出轨了还需要挽回吗.mov,.mov,13.049,1080,1920,30,h264,aac,19.143,read_success,793,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人到底喜欢哪种舞伴答案可能让你意外.mov,男人到底喜欢哪种舞伴答案可能让你意外.mov,.mov,52.407,1080,1920,30,h264,aac,62.653,read_success,794,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人只有在喜欢的人面前好色.mov,男人只有在喜欢的人面前好色.mov,.mov,10.681,1080,1920,30,h264,aac,13.166,read_success,795,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人和女人在性差异在哪里.mp4,男人和女人在性差异在哪里.mp4,.mp4,31.277,1080,1920,60.000,hevc,aac,48.070,read_success_reused_existing_metadata,796,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人无法拒绝顶级撒娇技巧.mov,男人无法拒绝顶级撒娇技巧.mov,.mov,45.975,1080,1920,30,h264,aac,54.851,read_success,797,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人最大的瘾是什么呢？.mp4,男人最大的瘾是什么呢？.mp4,.mp4,9.404,1080,1920,60.000,hevc,aac,14.443,read_success_reused_existing_metadata,798,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人最好的补药竟然是她！.mov,男人最好的补药竟然是她！.mov,.mov,14.489,1080,1920,30,h264,aac,17.550,read_success,799,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人爱不爱你一定看这个两点.mp4,男人爱不爱你一定看这个两点.mp4,.mp4,26.145,1080,1920,30.000,h264,aac,32.423,read_success_reused_existing_metadata,800,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人爱不爱你看这两点.mp4,男人爱不爱你看这两点.mp4,.mp4,28.839,1080,1920,60.000,h264,aac,51.545,read_success_reused_existing_metadata,801,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人爱你的几种表现，.mp4,男人爱你的几种表现，.mp4,.mp4,28.189,1080,1920,30.000,h264,aac,33.637,read_success_reused_existing_metadata,802,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人的三个底线，聪明女人千万不要碰.mp4,男人的三个底线，聪明女人千万不要碰.mp4,.mp4,52.872,1080,1920,30.000,h264,aac,63.198,read_success_reused_existing_metadata,803,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人真的很喜欢的“娇妻”行行为.mov,男人真的很喜欢的“娇妻”行行为.mov,.mov,60.883,1080,1920,30,h264,aac,72.614,read_success,804,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人真的很喜欢的娇妻行为.mov,男人真的很喜欢的娇妻行为.mov,.mov,35.55,1080,1920,30,h264,aac,43.001,read_success,805,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人真的很爱的娇妻行为.mov,男人真的很爱的娇妻行为.mov,.mov,31.788,1080,1920,30,h264,aac,38.208,read_success,806,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男人都喜欢胖乎乎的女人.mov,男人都喜欢胖乎乎的女人.mov,.mov,7.453,1080,1920,30,h264,aac,9.039,read_success,807,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男女最舒服的关系到底是什么样子.mov,男女最舒服的关系到底是什么样子.mov,.mov,12.422,1080,1920,30,h264,aac,14.521,read_success,808,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男是喜欢会跳舞还是不会跳舞呢.mov,男是喜欢会跳舞还是不会跳舞呢.mov,.mov,25.449,1080,1920,30,h264,aac,30.939,read_success,809,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男朋友只约打牌怎么办教你一招反败为胜.mov,男朋友只约打牌怎么办教你一招反败为胜.mov,.mov,86.285,1080,1920,30,h264,aac,103.042,read_success,810,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男生听了秒心动高情商夸人术/男生听了秒心动高情商夸人术.mp4,男生听了秒心动高情商夸人术.mp4,.mp4,50.573,1080,1920,30.000,h264,aac,60.913,read_success_reused_existing_metadata,811,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/男的会怀念三种类型的前任.mp4,男的会怀念三种类型的前任.mp4,.mp4,44.967,1080,1920,30.000,h264,aac,54.375,read_success_reused_existing_metadata,812,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/盆底肌训练的重要性.mov,盆底肌训练的重要性.mov,.mov,116.518,1080,1920,30,h264,aac,139.153,read_success,813,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/直女撒娇话术也能达到撩人效果.mp4,直女撒娇话术也能达到撩人效果.mp4,.mp4,59.867,1080,1920,30.000,h264,aac,71.182,read_success_reused_existing_metadata,814,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/看一个男人是爱还是控制.mov,看一个男人是爱还是控制.mov,.mov,28.444,1080,1920,30,h264,aac,43.565,read_success,815,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/真正爱你女人到底是什么样子.mov,真正爱你女人到底是什么样子.mov,.mov,23.452,1080,1920,30,h264,aac,28.322,read_success,816,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/真正的爱情到底是什么样子/真正的爱情到底是什么样子.mp4,真正的爱情到底是什么样子.mp4,.mp4,21.78,1080,1920,30.000,h264,aac,26.999,read_success_reused_existing_metadata,817,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/真正给你撑腰的只有你自己.mov,真正给你撑腰的只有你自己.mov,.mov,34.853,1080,1920,30,h264,aac,42.051,read_success,818,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/真正让你成长的，根本不是学校.mp4,真正让你成长的，根本不是学校.mp4,.mp4,44.489,1080,1920,30.000,h264,aac,53.596,read_success_reused_existing_metadata,819,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/睡前三分钟蝴蝶开合训练.mov,睡前三分钟蝴蝶开合训练.mov,.mov,175.636,1080,1920,30,h264,aac,208.540,read_success,820,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/睡前三分钟让你变得更紧致(1).MOV,睡前三分钟让你变得更紧致(1).MOV,.mov,40.867,1080,1920,30,h264,aac,48.735,read_success,821,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/睡前三分钟让你变得更紧致.MOV,睡前三分钟让你变得更紧致.MOV,.mov,42.353,1080,1920,30,h264,aac,50.462,read_success,822,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/睡前别玩手机3招让婚姻甜到齁.mp4,睡前别玩手机3招让婚姻甜到齁.mp4,.mp4,52.384,1080,1920,30.000,h264,aac,62.837,read_success_reused_existing_metadata,823,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/离不了又过不好这种婚姻像坐牢.mp4,离不了又过不好这种婚姻像坐牢.mp4,.mp4,13.769,1080,1920,30.000,h264,aac,16.459,read_success_reused_existing_metadata,824,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/私密花园保养好魅力自然少不了/私密花园保养好魅力自然少不了.mp4,私密花园保养好魅力自然少不了.mp4,.mp4,31.115,1080,1920,30.000,h264,aac,37.745,read_success_reused_existing_metadata,825,pending_not_analyzed
